resposta,nota
a psicologia assim como as ciências sociais permaneceu por um tempo sem status de ciência que as ciências naturais tem contudo depois de questionamentos de estudiosos sobre a cientificidade se eu contato com o positivismo a psicologia tem sua cientificidade validada,2
a cientificidade da psicologia é seu carater cientifico exploratório e investigatório a psicologia como ciência observa fenômenos e testas hipóteses,2
a psicologia não é uma corrente que trabalha somente com achismo e base teórica a psicologia em muitos estudos faz a utilização de pesquisas tanto qualitativa quanto quantitativa,4
o que os critérios científicos para realização de seus estudos seja através de pesquisas qualitativas ou quantitativas e os estudos são estabelecidos através de procedimentos metodológicos que viabilizam a veracidade dos estudos realizados,2
pois a psicologia realiza pesquisas estudos cria teorias embasadas em fatos e fenômenos,2
a psicologia é científica pelo fato de se orientar por meio de etapas que contribuem para a construção e desenvolvimento do conhecimento psicológico assim sendo ela possui um objetivo levanta hipóteses testa hipóteses possui instrumentos de coleta de dados faz análise e possui método,4
com base nas características da psicologia ela pode ser considerada ciência por usar vários métodos que encaixa neste como pesquisas tanto qualitativa quanto quantitativa testes hipóteses bases teóricas e geralmente contem um objetivo final,5
pelo fato dela ser metodológica e de suas teorias e testes ser comprovados cientificamente,1
a psicologia tida como ciências sociais deve ser considerada ciência por ter critérios epistemológicos perpassados estando de acordo com exigências científicas a psicologia como um estudo do comportamento humano procura ser sistemática e metodológica,2
deve ser considerada cientifica porque além de realizar experimentos com o homem  produz conhecimento gerando bem estar individual e social,2
pois ela estuda fenômenos na maioria subjetivos e a partir de métodos p coleta ex entrevistas consegue colocalos em um contexto público ondese pode mensurar e aplicar intervenções,3
a psicologia é considerada uma ciência porque estuda o ser humano e suas relações sociais através de observações teorias e até mesmo experimentos em algumas áreas da psicologia,2
a psicologia deve ser considerada científica devido a amplitude epistemológica do comportamento humano que utiliza teoria eou abordagem para tornala rigorosa,1
a psicologia deve ser considerada científica porque os seus dados sao bibliográficos e comprovados pois faz parte da ciências sociais,2
a psicologia deve ser considerada científica pois suas pesquisas estão pautadas em pesquisa qualitativa esta é ramificada em três correntes teóricas póspositivismo construtivismo social e teoria crítica que surgiram após o fracasso do positivismo assim sendo a psicologia uma ciência social e uma vez que as ciências sociais utilizam a pesquisa qualitativa para subsidiar suas conclusões ela é científica,4
cientificidade busca novos horizontes através da transformação se não se mede não se pode existir solucionador de problemas da sociedade,1
mesmo sendo considerada préparadigmática a psicologia deve ser considerada científica por apresentar paradigmas e rigor em seu sistema teórico mesmo detentora de inúmeras abordagens estas se fundamentam em epistemologias e possuem foco ênfase metodologia e paradigmas específicos que as diferem e as sustentam,5
epistemologicamente para ser ciência é preciso obedecer alguns critérios ser passível de observação possível de ser testado e repetido por outrém etc nas ciências sociais como a psicologia existem variações que fazem parte da sua particularidade a psicologia é uma ciência subjetiva cujas variáveis podem ser controladas e testadas há um objeto de estudo um sujeito uma metodologia um pesquisadorobservadorparticipante,3
a psicologia deve ser considerada científica pois ela contempla as três modalidades dentro da pesquisa qualitativa suas abordagens podem ser adaptadas ontológica e metodologicamente dentro dos critérios de pesquisa pós positivista teórico crítico e construtivista social,4
a psicologia deve ser considerada cientifica pois utiliza de métodos empíricos de pesquisa podendo ser tanto quantitativa quando qualitativa,6
porque faz uso de instrumentos que são capazes de comprovar hipóteses cujos resultados contribuem para a comprovação de fatos e de direitos tanto para a sociedade quanto para o sujeito,2
por que a psicologia também é uma ciência é estudada cientificamente,0
a psicologia deve ser considerada científica pois trabalhase com pesquisas qualitativas para concluir ou refutar um objetivo,3
a psicologia deve ser considerada cientifica pois nela se utiliza os dois tipos de pesquisa qualitativa e quantitativa a psicologia é estudada pelo olhar qualitativo enquanto uma ciência social por exemplo e estudada peloolhar quantitativo enquanto uma ciência biológica logo por esses motivos elas pode ser considerada ciência,6
a psicologia deve ser considerada científica pois o comportamento humano é constituído por eventos eou comportamentos que podem ser observados comparados mensurados analisados e relatados a psicologia deve ser considerada científica por ser fruto do senso crítico e amparada por pressupostos teóricos,4
porque faz uso de instrumentos que são capazes de comprovar hipóteses cujos resultados contribuem para a comprovação de fatos e de direitos tanto para a sociedade quanto para o sujeito,2
a psicologia é considerada uma ciência porque estuda o ser humano e suas relações sociais através de observações teorias e até mesmo experimentos em algumas áreas da psicologia,2
1	psicologia é  ciência pois utilizase de métodos quantitativos e qualitativos  dentro do pós positivismo tempos questões mais biológicas da própria psicologia e questões mais sociais dentro da teoria critica e construcionismo social,4
a ciencia da psicologia não possuiu um consenso e não é unificada ela possui duas linhas uma biológica que é quantitativa e outra social que é qualitativa a psicologia possui várias abordagens teóricas,3
a ciência é um conhecimento de diversas áreas ou seja ela é ampla não é linhagem linear e é sempre estudada em grupo na psicologia ela é da mesma forma trazendo então novos conceitos paradigmas e principalmente o conhecimento científico,2
a cientificidade da psicologia é caracterizada por etapas introdução procedimentos metodológicos objetivojustificativa e estruturação previa ,0
a cientificidade da psicologia é justificada pela busca de critérios adequados de cientificidade por meio de abordagens múltiplas  ,3
a cientificidade da psicologia está relacionada com a noção de ciência revolucionária dentro da ciência considerada normal atua um paradigma vigente acompanhado de poucas anomalias com as transição para a ciência revolucionária constituise um novo paradigma incluindo mais anomalias e assim ela se torna uma nova ciência normal novamente e o ciclo volta a ocorrer portanto a psicologia é considerada uma ciência,3
a cientificidade da psicologia pode ser explicadajustificada pela sua questão social e biológica a primeira tratase de um fator qualitativo enquanto que a segunda é um fator quantitativo ,4
