resposta,nota
psicologia assim ciências sociais permaneceu tempo status ciência ciências naturais contudo questionamentos estudiosos sobre cientificidade contato positivismo psicologia cientificidade validada,2
cientificidade psicologia carater cientifico exploratório investigatório psicologia ciência observa fenômenos testas hipóteses,2
psicologia corrente trabalha somente achismo base teórica psicologia muitos estudos faz utilização pesquisas tanto qualitativa quanto quantitativa,4
critérios científicos realização estudos através pesquisas qualitativas quantitativas estudos estabelecidos através procedimentos metodológicos viabilizam veracidade estudos realizados,2
pois psicologia realiza pesquisas estudos cria teorias embasadas fatos fenômenos,2
psicologia científica fato orientar meio etapas contribuem construção desenvolvimento conhecimento psicológico assim sendo possui objetivo levanta hipóteses testa hipóteses possui instrumentos coleta dados faz análise possui método,4
base características psicologia pode considerada ciência usar vários métodos encaixa neste pesquisas tanto qualitativa quanto quantitativa testes hipóteses bases teóricas geralmente contem objetivo final,5
fato metodológica teorias testes comprovados cientificamente,1
psicologia tida ciências sociais deve considerada ciência critérios epistemológicos perpassados estando acordo exigências científicas psicologia estudo comportamento humano procura sistemática metodológica,2
deve considerada cientifica porque além realizar experimentos homem produz conhecimento gerando bem estar individual social,2
pois estuda fenômenos maioria subjetivos partir métodos p coleta ex entrevistas consegue colocalos contexto público ondese pode mensurar aplicar intervenções,3
psicologia considerada ciência porque estuda humano relações sociais através observações teorias experimentos algumas áreas psicologia,2
psicologia deve considerada científica devido amplitude epistemológica comportamento humano utiliza teoria eou abordagem tornala rigorosa,1
psicologia deve considerada científica porque dados sao bibliográficos comprovados pois faz parte ciências sociais,2
psicologia deve considerada científica pois pesquisas pautadas pesquisa qualitativa ramificada três correntes teóricas póspositivismo construtivismo social teoria crítica surgiram após fracasso positivismo assim sendo psicologia ciência social vez ciências sociais utilizam pesquisa qualitativa subsidiar conclusões científica,4
cientificidade busca novos horizontes através transformação mede pode existir solucionador problemas sociedade,1
sendo considerada préparadigmática psicologia deve considerada científica apresentar paradigmas rigor sistema teórico detentora inúmeras abordagens fundamentam epistemologias possuem foco ênfase metodologia paradigmas específicos diferem sustentam,5
epistemologicamente ciência preciso obedecer alguns critérios passível observação possível testado repetido outrém etc ciências sociais psicologia existem variações fazem parte particularidade psicologia ciência subjetiva cujas variáveis podem controladas testadas objeto estudo sujeito metodologia pesquisadorobservadorparticipante,3
psicologia deve considerada científica pois contempla três modalidades dentro pesquisa qualitativa abordagens podem adaptadas ontológica metodologicamente dentro critérios pesquisa pós positivista teórico crítico construtivista social,4
psicologia deve considerada cientifica pois utiliza métodos empíricos pesquisa podendo tanto quantitativa qualitativa,6
porque faz uso instrumentos capazes comprovar hipóteses cujos resultados contribuem comprovação fatos direitos tanto sociedade quanto sujeito,2
psicologia ciência estudada cientificamente,0
psicologia deve considerada científica pois trabalhase pesquisas qualitativas concluir refutar objetivo,3
psicologia deve considerada cientifica pois nela utiliza dois tipos pesquisa qualitativa quantitativa psicologia estudada olhar qualitativo enquanto ciência social exemplo estudada peloolhar quantitativo enquanto ciência biológica logo motivos pode considerada ciência,6
psicologia deve considerada científica pois comportamento humano constituído eventos eou comportamentos podem observados comparados mensurados analisados relatados psicologia deve considerada científica fruto senso crítico amparada pressupostos teóricos,4
porque faz uso instrumentos capazes comprovar hipóteses cujos resultados contribuem comprovação fatos direitos tanto sociedade quanto sujeito,2
psicologia considerada ciência porque estuda humano relações sociais através observações teorias experimentos algumas áreas psicologia,2
1 psicologia ciência pois utilizase métodos quantitativos qualitativos dentro pós positivismo tempos questões biológicas própria psicologia questões sociais dentro teoria critica construcionismo social,4
ciencia psicologia possuiu consenso unificada possui duas linhas biológica quantitativa outra social qualitativa psicologia possui várias abordagens teóricas,3
ciência conhecimento diversas áreas ampla linhagem linear sempre estudada grupo psicologia mesma forma trazendo então novos conceitos paradigmas principalmente conhecimento científico,2
cientificidade psicologia caracterizada etapas introdução procedimentos metodológicos objetivojustificativa estruturação previa,0
cientificidade psicologia justificada busca critérios adequados cientificidade meio abordagens múltiplas,3
cientificidade psicologia relacionada noção ciência revolucionária dentro ciência considerada normal atua paradigma vigente acompanhado poucas anomalias transição ciência revolucionária constituise novo paradigma incluindo anomalias assim torna nova ciência normal novamente ciclo volta ocorrer portanto psicologia considerada ciência,3
cientificidade psicologia pode explicadajustificada questão social biológica primeira tratase fator qualitativo enquanto segunda fator quantitativo,4
cientificidade psicologia pode justificada transformações ocorridas relação ciências consequências comunidade científica esgotamento positivismo surgimento novos paradigmas tentativa justificar corrigir lacunas antecedentes fizeram cientificidade psicologia atualmente,2
cientificidade psicologia apoia critérios tempo permanência campopossibilidade generalização naturalística dialogo teorico metodológico pesquisadores,4
cientificidade psicologia divide ciência natural social ciência primeiramente explicada positivismo considerava método científico aspecto importante além priorizar indução observação afirmava ciência cumulativa sofre generalização naturalística positivismo vigente kuhn dar início relativismo criação tese incomensurabilidade,3
cientificidade psicologia iniciou positivismo observação necessidade dados claros confiáveis mesurados,1
cientificidade psicologia linha social onde usuária pesquisa qualitativa linha biológica onde usuária pesquisa quantitativa quer dizer repartição podendo usar métodos mistos,6
cientificidade psicologia vem através pesquisas suposições dai surge paradigmas concretização verdade determinado momento sociedade positivismo estudo teoria póspositivismo base porém outro modo construtivismo social parte suposição dentro própria sociedade,5
cientificidade psicologia dividida duas linhas linha social linha biológica psicologia área onde realiza muitas pesquisas principalmente linha social onde utilizada pesquisa qualitativa,3
pluralidade metodológica define psicologia atual ciência podendo usar tanto pesquisas quantitativas quanto qualitativas idealmente combinando duas formas psicologia ainda conta rigidez experimental herdada ciências naturais ajuda poder validada ciência,6
psicologia ciência pois apresenta características tal rigor uso coerente métodos procedimentos metodológicos parte caracterizada fazer estudos qualitativos social outra parte estudos quantitativos,4
psicologia considerada ciência dentro duas linhas científicas biológica socialhumana pois alguns consideram biológica envolver área saúde enquanto cientistas sociais consideram humanizada lidar humano,3
psicologia considerada ciência social múltiplas abordagens ainda optou somente paradigma correto,2
psicologia entendida ciência partir momento estuda assuntos vindos demanda social passa explicálos eou desvendálos existem dois ramos biológica social primeira remetese ciências quantitativas enquanto última qualitativa,6
psicologia ciência partir momento usa diversos métodos chegar teorias leis vista observação hipóteses comprovações refutabilidades ciência constante mudança,4
psicologia ciência científica pois faz equilíbrio objetividade subjetividade ciência neutra teorias importância sociedadeindivíduo,1
psicologia ciência diferente ciências naturais onde busca previsão controle objeto estudo psicologia homem inserido sociedade sempre mudando consequentemente teorias existe somente método cientifico verdade positivismo impregnou ideias rigor neutralidade ciências construção coletiva verdade absoluta,6
psicologia ciência possui estudos voltados biológico behaviorismo radical utilizando pesquisas quantitativas qualiquanti possuem abordagens sociais pesquisas qualitativas,3
psicologia ciência exista varias abordagens psicologia exista paradigma comum todas ciência devido todo corpo teórico vem sendo desenvolvido desde início porque tradição crítica comunidade científica julga fazem críticas trabalhos realizados causa resultados apresentados,4
psicologia ciências sociais onde possui multiplicidade teorias umas criticas outras relativistas porém critérios pesquisa sérios construção coletiva,4
psicologia faz parte ciências sociais buscam atributos métodos mundo comorovarem teorias existem dois campos chamam atenção dentro cirntificidade psicologia psicologia social ultiliza método recursos qualitativos biológica conta quantitativo,5
psicologia pode considerada ciência fato promover estudos teorias aplicabilidade várias frentes estudo pesquisas validadas sugestão hipóteses formulação teoria,4
psicologia pode vista dois grupos ciências sociais baseiam pesquisas qualitativas biológica baseiam pesquisas quantificativas vale ressaltar psicologia ainda buscase maior coerência científica,5
psicologia assim outras ciências sociais ciência ainda busca abordagens estudos aprimoramento significa ciência várias abordagens presentes psicologia permitem levados conta vários paradigmas realização pesquisas científicas,5
contrário muitas disciplinas ciências naturais psicologia caracteriza ciência multiparadigmática pois trabalha vários objetos estudo assim métodos epistemologias compreender homem,4
cientificidade psicologia conceito consensual ciência temas abrangentes possui linha social usa pesquisa qualitativa explicar linha biológica usa pesquisa quantitativa experimentos analise experimental comportamento pesquisas quantiquali estuda temas complexos,7
dentro ciências sociais possui multiplicidade metodologias estudando humanidade fazendo descobertas conexão origens culturais sendo construção coletiva utiliza princípios básicos procedimentos relação pesquisas,5
psicologia existe único método fazer fazer ciência sao feitas tanto qualitativas quantitativas importante clareza estudos fidelidade paradigma escolhido diversas áreas psicologia,5
pode justificada fato ciência duas linhas sendo linha social quali linha biológica quanti,3
psicologia ciência utiliza cientificidade áreas biológicas póspositivismo através experimentações área social pesquisa qualitativa quantitativa psicologia estuda conceitos abrangentes vida indivíduos,5
